channel_id,demand,wavelength,rate_gbps,route,tx_power_mw,max_edfa_output_mw,rx_power_mw,rx_ase_uw,optical_snr_db,power_limit_status,leveling_status,optical_snr_status
ch01,A-B,lambda1,40,A-B,2.0000000000000004,2.825075089245509,0.004477442277136681,0.004646231890436491,29.83929114301405,PASS,PASS,PASS
ch02,A-B,lambda2,10,A-B,0.20000000000000004,2.825075089245509,0.004477442277136681,0.0011615579726091227,35.85989105629368,PASS,PASS,PASS
ch03,A-B,lambda3,10,A-B,0.20000000000000004,2.825075089245509,0.004477442277136681,0.0011615579726091227,35.85989105629368,PASS,PASS,PASS
ch04,A-C,lambda4,40,A-B|B-C,2.0000000000000004,2.825075089245509,0.0001782501876267492,0.027422624872035443,8.129209728953686,PASS,PASS,FAIL
ch05,A-C,lambda5,10,A-B|B-C,0.20000000000000004,2.825075089245509,0.0001782501876267492,0.006855656218008861,14.149809642233311,PASS,PASS,PASS
ch06,A-D,lambda6,40,A-B|B-D,2.0000000000000004,2.825075089245509,0.0011246826503806984,0.03974842900908184,14.517100271034307,PASS,PASS,PASS
ch07,A-D,lambda7,10,A-B|B-D,0.20000000000000004,2.825075089245509,0.0011246826503806984,0.00993710725227046,20.53770018431393,PASS,PASS,PASS
ch08,B-A,lambda6,40,B-A,2.0000000000000004,2.825075089245509,0.004477442277136681,0.015779432913058954,24.52938604341575,PASS,PASS,PASS
ch09,B-A,lambda7,10,B-A,0.20000000000000004,2.825075089245509,0.004477442277136681,0.003944858228264739,30.549985956695373,PASS,PASS,PASS
ch10,B-A,lambda8,10,B-A,0.20000000000000004,2.825075089245509,0.004477442277136681,0.003944858228264739,30.549985956695373,PASS,PASS,PASS
ch11,B-A,lambda9,10,B-A,0.20000000000000004,2.825075089245509,0.004477442277136681,0.003944858228264739,30.549985956695373,PASS,PASS,PASS
ch12,B-C,lambda1,10,B-C,0.20000000000000004,0.0709626778467151,0.0001782501876267492,0.006718684989929165,14.237457162861984,PASS,PASS,PASS
ch13,B-C,lambda2,10,B-C,0.20000000000000004,0.0709626778467151,0.0001782501876267492,0.006718684989929165,14.237457162861984,PASS,PASS,PASS
ch14,B-C,lambda3,10,B-C,0.20000000000000004,0.0709626778467151,0.0001782501876267492,0.006718684989929165,14.237457162861984,PASS,PASS,PASS
ch15,B-D,lambda1,10,B-D,0.20000000000000004,0.044774422771366805,0.0011246826503806984,0.0090728772288769,20.932849614738007,PASS,PASS,PASS
ch16,B-D,lambda2,10,B-D,0.20000000000000004,0.044774422771366805,0.0011246826503806984,0.0090728772288769,20.932849614738007,PASS,PASS,PASS
ch17,C-A,lambda1,10,C-B|B-A,0.20000000000000004,2.825075089245509,0.004477442277136681,0.009908925573260901,26.55003429261532,PASS,PASS,PASS
ch18,C-A,lambda2,10,C-B|B-A,0.20000000000000004,2.825075089245509,0.004477442277136681,0.009908925573260901,26.55003429261532,PASS,PASS,PASS
ch19,C-A,lambda3,10,C-B|B-A,0.20000000000000004,2.825075089245509,0.004477442277136681,0.009908925573260901,26.55003429261532,PASS,PASS,PASS
ch20,C-B,lambda6,40,C-B,2.0000000000000004,2.825075089245509,0.008933671843019261,0.03848350038724212,23.65755427887487,PASS,PASS,PASS
ch21,C-B,lambda7,10,C-B,0.20000000000000004,2.825075089245509,0.008933671843019261,0.00962087509681053,29.678154192154494,PASS,PASS,PASS
ch22,C-D,lambda4,10,C-B|B-D,0.20000000000000004,2.825075089245509,0.0011246826503806984,0.010570983212927423,20.269146125107305,PASS,PASS,PASS
ch23,C-D,lambda5,10,C-B|B-D,0.20000000000000004,2.825075089245509,0.0011246826503806984,0.010570983212927423,20.269146125107305,PASS,PASS,PASS
ch24,C-D,lambda8,10,C-B|B-D,0.20000000000000004,2.825075089245509,0.0011246826503806984,0.010570983212927423,20.269146125107305,PASS,PASS,PASS
ch25,D-A,lambda4,10,D-B|B-A,0.20000000000000004,4.47744227713668,0.004477442277136681,0.004889013866197942,29.618087266544492,PASS,PASS,PASS
ch26,D-A,lambda5,10,D-B|B-A,0.20000000000000004,4.47744227713668,0.004477442277136681,0.004889013866197942,29.618087266544492,PASS,PASS,PASS
ch27,D-B,lambda1,10,D-B,0.20000000000000004,4.47744227713668,0.01782501876267491,0.001479747575200388,40.80842358679461,PASS,PASS,PASS
ch28,D-B,lambda2,10,D-B,0.20000000000000004,4.47744227713668,0.01782501876267491,0.001479747575200388,40.80842358679461,PASS,PASS,PASS
ch29,D-B,lambda3,10,D-B,0.20000000000000004,4.47744227713668,0.01782501876267491,0.001479747575200388,40.80842358679461,PASS,PASS,PASS
ch30,D-C,lambda6,40,D-B|B-C,2.0000000000000004,4.47744227713668,0.0001782501876267492,0.02702509001154855,8.192628465463581,PASS,PASS,FAIL
ch31,D-C,lambda7,10,D-B|B-C,0.20000000000000004,4.47744227713668,0.0001782501876267492,0.006756272502887137,14.213228378743207,PASS,PASS,PASS
ch32,D-C,lambda8,10,D-B|B-C,0.20000000000000004,4.47744227713668,0.0001782501876267492,0.006756272502887137,14.213228378743207,PASS,PASS,PASS
